student_id,gender,grade,stream,class_name,class_section,class_size,subject,semester,visited_resources,announcements_viewed,discussion_participation,absence_days,weekly_study_hours,homework_completion_rate,final_score,caps_level,performance_class,is_pass
FHS0082,Female,Grade 8,General,8B,B,32,Mathematics,Semester 2,41,15,31,Under-7,8.1,49,26,1,L,0
FHS0083,Female,Grade 8,General,8B,B,45,Technology,Semester 2,44,54,57,Above-7,6.2,68,22,1,L,0
FHS0084,Female,Grade 8,General,8B,B,35,Technology,Semester 1,90,83,25,Under-7,14.8,82,80,7,H,1
FHS0085,Male,Grade 8,General,8A,A,35,EMS,Semester 1,42,42,49,Under-7,5.7,48,35,2,L,0
FHS0086,Male,Grade 8,General,8C,C,42,Social Sciences,Semester 1,33,16,43,Above-7,14.0,64,14,1,L,0
FHS0087,Female,Grade 8,General,8A,A,38,Mathematics,Semester 2,44,50,47,Above-7,2.7,57,32,2,L,0
FHS0088,Female,Grade 8,General,8C,C,38,Natural Sciences,Semester 1,69,53,66,Under-7,14.6,61,62,5,M,1
FHS0089,Male,Grade 8,General,8A,A,35,EMS,Semester 2,36,48,71,Under-7,7.3,68,58,4,M,1
FHS0090,Male,Grade 8,General,8B,B,38,English FAL,Semester 1,66,72,81,Under-7,22.4,65,69,5,M,1
FHS0091,Male,Grade 8,General,8B,B,38,EMS,Semester 1,11,37,54,Under-7,4.1,64,40,3,M,1
FHS0092,Male,Grade 8,General,8A,A,38,EMS,Semester 2,31,39,41,Under-7,16.3,64,60,5,M,1
FHS0093,Male,Grade 8,General,8C,C,45,Technology,Semester 2,44,36,47,Above-7,13.5,52,22,1,L,0
FHS0094,Male,Grade 8,General,8B,B,38,Social Sciences,Semester 2,84,53,51,Under-7,17.3,54,58,4,M,1
FHS0095,Male,Grade 8,General,8C,C,35,Social Sciences,Semester 1,27,37,48,Under-7,6.4,37,19,1,L,0
FHS0096,Male,Grade 8,General,8A,A,35,Technology,Semester 1,50,45,33,Under-7,15.7,85,63,5,M,1
FHS0097,Male,Grade 8,General,8A,A,42,Natural Sciences,Semester 1,66,71,71,Under-7,14.3,97,78,6,H,1
FHS0098,Male,Grade 8,General,8A,A,35,Technology,Semester 2,8,0,35,Above-7,2.0,33,5,1,L,0
FHS0099,Male,Grade 8,General,8B,B,38,English FAL,Semester 2,72,69,53,Under-7,13.4,81,59,4,M,1
FHS0100,Male,Grade 8,General,8A,A,32,English FAL,Semester 1,99,56,55,Under-7,21.6,81,90,7,H,1
FHS0101,Male,Grade 8,General,8C,C,32,EMS,Semester 2,39,49,35,Above-7,8.7,56,33,2,L,0
FHS0102,Female,Grade 8,General,8A,A,32,EMS,Semester 2,52,36,54,Under-7,10.6,58,64,5,M,1
FHS0103,Male,Grade 8,General,8A,A,48,Life Orientation,Semester 2,56,58,49,Under-7,10.0,67,55,4,M,1
FHS0104,Female,Grade 8,General,8B,B,38,Natural Sciences,Semester 1,99,32,54,Under-7,14.8,79,74,6,H,1
FHS0105,Male,Grade 8,General,8C,C,45,Mathematics,Semester 1,52,57,56,Under-7,14.7,69,59,4,M,1
FHS0106,Female,Grade 8,General,8B,B,32,Technology,Semester 2,78,54,9,Under-7,9.6,72,49,3,M,1
FHS0107,Female,Grade 8,General,8B,B,42,Life Orientation,Semester 1,74,49,38,Under-7,19.1,85,72,6,H,1
FHS0108,Female,Grade 8,General,8B,B,35,Mathematics,Semester 2,84,38,53,Under-7,15.8,53,43,3,M,1
FHS0109,Female,Grade 8,General,8A,A,38,EMS,Semester 1,68,47,55,Under-7,16.3,100,71,6,H,1
FHS0110,Female,Grade 8,General,8A,A,35,Life Orientation,Semester 1,27,64,48,Under-7,11.9,64,62,5,M,1
FHS0111,Male,Grade 8,General,8B,B,42,Social Sciences,Semester 2,66,57,51,Above-7,11.6,66,32,2,L,0
FHS0112,Female,Grade 8,General,8B,B,42,Social Sciences,Semester 1,57,3,60,Under-7,21.9,97,60,5,M,1
FHS0113,Female,Grade 8,General,8A,A,38,EMS,Semester 1,61,25,41,Above-7,10.9,68,35,2,L,0
FHS0114,Male,Grade 8,General,8A,A,45,Social Sciences,Semester 1,20,16,28,Above-7,2.0,25,5,1,L,0
FHS0115,Male,Grade 8,General,8B,B,48,Natural Sciences,Semester 1,26,26,40,Under-7,12.9,56,17,1,L,0
FHS0116,Female,Grade 8,General,8B,B,38,English FAL,Semester 1,11,16,48,Under-7,15.1,52,31,2,L,0
FHS0117,Female,Grade 8,General,8B,B,32,Life Orientation,Semester 1,61,64,86,Under-7,17.9,99,88,7,H,1
FHS0118,Male,Grade 8,General,8A,A,35,Natural Sciences,Semester 1,47,58,66,Under-7,20.5,91,70,6,H,1
FHS0119,Male,Grade 8,General,8C,C,38,Natural Sciences,Semester 1,37,5,25,Under-7,7.2,58,25,1,L,0
FHS0120,Female,Grade 8,General,8A,A,42,English FAL,Semester 1,45,53,47,Under-7,16.0,79,65,5,M,1
FHS0121,Female,Grade 8,General,8C,C,32,Technology,Semester 2,42,65,63,Under-7,11.6,69,63,5,M,1
FHS0122,Male,Grade 8,General,8A,A,32,Mathematics,Semester 1,47,73,54,Under-7,18.8,75,57,4,M,1
FHS0123,Male,Grade 8,General,8B,B,35,EMS,Semester 2,90,51,54,Above-7,14.0,98,64,5,M,1
FHS0124,Female,Grade 8,General,8A,A,42,EMS,Semester 2,45,10,59,Above-7,18.7,78,47,3,M,1
FHS0125,Male,Grade 8,General,8B,B,32,English FAL,Semester 2,85,44,70,Under-7,15.1,82,69,5,M,1
FHS0126,Female,Grade 8,General,8A,A,35,Mathematics,Semester 1,93,81,85,Under-7,20.8,100,78,6,H,1
FHS0127,Male,Grade 8,General,8B,B,48,Natural Sciences,Semester 2,23,24,19,Under-7,6.0,38,25,1,L,0
FHS0128,Male,Grade 8,General,8A,A,35,English FAL,Semester 2,47,23,77,Under-7,9.9,59,50,4,M,1
FHS0129,Female,Grade 8,General,8B,B,38,English FAL,Semester 2,99,41,15,Under-7,10.5,98,62,5,M,1
FHS0130,Female,Grade 8,General,8C,C,32,Social Sciences,Semester 2,76,78,71,Under-7,23.3,92,88,7,H,1
FHS0131,Male,Grade 8,General,8B,B,32,Social Sciences,Semester 1,85,83,76,Under-7,15.2,82,74,6,H,1
FHS0132,Female,Grade 8,General,8A,A,35,Life Orientation,Semester 2,91,41,90,Under-7,13.7,89,83,7,H,1
FHS0133,Female,Grade 8,General,8B,B,32,Mathematics,Semester 2,41,45,47,Above-7,11.5,62,19,1,L,0
FHS0134,Female,Grade 8,General,8A,A,32,Mathematics,Semester 1,65,53,80,Under-7,17.4,67,67,5,M,1
FHS0135,Male,Grade 8,General,8B,B,38,Mathematics,Semester 1,74,91,67,Under-7,16.6,83,76,6,H,1
FHS0136,Male,Grade 8,General,8B,B,38,Social Sciences,Semester 1,50,56,24,Under-7,9.8,42,43,3,M,1
FHS0137,Male,Grade 8,General,8A,A,45,Social Sciences,Semester 1,44,21,49,Under-7,7.5,42,31,2,L,0
FHS0138,Male,Grade 8,General,8A,A,38,Technology,Semester 1,44,44,33,Above-7,3.1,34,23,1,L,0
FHS0139,Female,Grade 8,General,8B,B,35,Life Orientation,Semester 1,90,80,99,Under-7,23.2,87,88,7,H,1
FHS0140,Male,Grade 8,General,8B,B,38,Social Sciences,Semester 1,61,72,50,Above-7,11.0,59,41,3,M,1
FHS0141,Female,Grade 8,General,8C,C,38,EMS,Semester 1,41,63,8,Above-7,19.8,68,35,2,L,0
FHS0142,Female,Grade 8,General,8B,B,42,Life Orientation,Semester 2,22,49,23,Above-7,5.0,58,26,1,L,0
FHS0143,Female,Grade 8,General,8A,A,45,Natural Sciences,Semester 1,65,69,68,Under-7,18.3,83,65,5,M,1
FHS0144,Female,Grade 8,General,8B,B,42,EMS,Semester 2,99,68,87,Under-7,18.2,82,83,7,H,1
FHS0145,Male,Grade 8,General,8C,C,35,English FAL,Semester 1,79,47,51,Under-7,8.9,80,60,5,M,1
FHS0146,Female,Grade 8,General,8B,B,35,Mathematics,Semester 2,99,73,24,Under-7,23.3,77,65,5,M,1
FHS0147,Male,Grade 8,General,8B,B,32,Social Sciences,Semester 2,75,62,84,Under-7,16.2,81,88,7,H,1
FHS0148,Male,Grade 8,General,8A,A,35,Social Sciences,Semester 2,68,58,66,Under-7,14.9,77,70,6,H,1
FHS0149,Male,Grade 8,General,8A,A,45,Technology,Semester 2,28,16,27,Under-7,7.0,24,9,1,L,0
FHS0150,Male,Grade 8,General,8A,A,35,EMS,Semester 2,86,71,84,Under-7,20.0,93,86,7,H,1
FHS0151,Male,Grade 8,General,8B,B,48,EMS,Semester 1,12,30,7,Above-7,3.5,42,5,1,L,0
FHS0152,Male,Grade 8,General,8B,B,38,Technology,Semester 1,52,66,39,Under-7,11.1,68,45,3,M,1
FHS0153,Female,Grade 8,General,8A,A,35,Social Sciences,Semester 2,48,66,50,Under-7,14.4,79,67,5,M,1
FHS0154,Female,Grade 8,General,8B,B,38,EMS,Semester 1,49,33,54,Under-7,9.5,69,65,5,M,1
FHS0155,Male,Grade 8,General,8C,C,38,Life Orientation,Semester 1,54,49,71,Under-7,17.4,70,70,6,H,1
FHS0156,Male,Grade 8,General,8A,A,38,English FAL,Semester 2,80,86,32,Under-7,23.5,74,78,6,H,1
FHS0157,Male,Grade 8,General,8C,C,48,Technology,Semester 2,93,61,45,Under-7,20.0,99,80,7,H,1
FHS0158,Male,Grade 8,General,8A,A,32,English FAL,Semester 1,49,62,75,Under-7,17.3,72,55,4,M,1
FHS0159,Female,Grade 8,General,8B,B,32,Natural Sciences,Semester 2,92,43,64,Under-7,23.3,90,80,7,H,1
FHS0160,Female,Grade 8,General,8A,A,45,English FAL,Semester 1,45,71,48,Under-7,18.4,58,67,5,M,1
FHS0161,Female,Grade 8,General,8A,A,35,Technology,Semester 2,35,5,43,Under-7,13.0,30,30,2,L,0
FHS0162,Female,Grade 8,General,8A,A,38,Life Orientation,Semester 2,52,11,30,Under-7,6.3,50,47,3,M,1
FHS0163,Male,Grade 8,General,8A,A,45,Technology,Semester 1,31,38,56,Above-7,13.5,35,14,1,L,0
FHS0164,Male,Grade 8,General,8B,B,35,Life Orientation,Semester 1,65,21,57,Under-7,13.2,45,54,4,M,1
FHS0165,Male,Grade 8,General,8B,B,42,English FAL,Semester 1,26,1,40,Above-7,3.6,59,10,1,L,0
FHS0166,Male,Grade 8,General,8A,A,45,Life Orientation,Semester 2,64,55,55,Under-7,9.9,67,56,4,M,1
FHS0167,Female,Grade 8,General,8A,A,42,Technology,Semester 1,72,94,37,Under-7,20.2,100,59,4,M,1
FHS0168,Male,Grade 8,General,8C,C,32,Social Sciences,Semester 2,57,39,43,Under-7,8.6,65,50,4,M,1
FHS0169,Male,Grade 8,General,8C,C,38,EMS,Semester 1,57,67,44,Under-7,10.9,64,61,5,M,1
FHS0170,Male,Grade 8,General,8A,A,35,EMS,Semester 1,57,47,44,Under-7,17.7,92,64,5,M,1
FHS0171,Male,Grade 8,General,8A,A,35,EMS,Semester 2,61,38,53,Under-7,11.6,63,53,4,M,1
FHS0172,Female,Grade 8,General,8B,B,35,EMS,Semester 1,63,38,65,Under-7,17.3,74,76,6,H,1
FHS0173,Male,Grade 8,General,8C,C,35,English FAL,Semester 2,60,0,71,Under-7,7.8,62,57,4,M,1
FHS0174,Male,Grade 8,General,8A,A,35,Social Sciences,Semester 1,48,76,51,Under-7,12.3,64,49,3,M,1
FHS0175,Female,Grade 8,General,8B,B,42,Natural Sciences,Semester 2,87,66,68,Under-7,22.8,90,71,6,H,1
FHS0176,Female,Grade 8,General,8B,B,35,Life Orientation,Semester 1,44,28,47,Above-7,10.2,71,48,3,M,1
FHS0177,Female,Grade 8,General,8A,A,48,Natural Sciences,Semester 2,20,59,34,Under-7,7.5,58,40,3,M,1
FHS0178,Female,Grade 8,General,8C,C,45,Natural Sciences,Semester 2,96,99,58,Under-7,18.1,100,83,7,H,1
FHS0179,Male,Grade 8,General,8B,B,32,English FAL,Semester 1,30,60,39,Under-7,11.3,57,47,3,M,1
FHS0180,Male,Grade 8,General,8C,C,38,Natural Sciences,Semester 2,34,11,13,Above-7,10.1,49,22,1,L,0
FHS0181,Female,Grade 8,General,8A,A,45,Natural Sciences,Semester 2,62,16,46,Under-7,15.2,98,52,4,M,1
FHS0182,Female,Grade 8,General,8C,C,38,EMS,Semester 2,49,94,62,Under-7,10.8,68,76,6,H,1
FHS0183,Male,Grade 8,General,8B,B,38,Natural Sciences,Semester 1,68,61,99,Under-7,18.8,96,82,7,H,1
FHS0184,Male,Grade 8,General,8C,C,42,Natural Sciences,Semester 2,53,28,66,Under-7,17.7,72,57,4,M,1
FHS0185,Male,Grade 8,General,8A,A,42,English FAL,Semester 2,33,35,46,Under-7,15.1,69,58,4,M,1
FHS0186,Female,Grade 8,General,8B,B,48,Natural Sciences,Semester 1,91,50,64,Under-7,17.0,66,83,7,H,1
FHS0187,Female,Grade 8,General,8A,A,35,English FAL,Semester 2,85,30,96,Above-7,22.3,100,72,6,H,1
FHS0188,Female,Grade 8,General,8A,A,35,EMS,Semester 2,41,43,60,Under-7,11.0,54,55,4,M,1
FHS0189,Male,Grade 8,General,8B,B,42,English FAL,Semester 1,48,66,68,Under-7,20.6,86,59,4,M,1
FHS0190,Male,Grade 8,General,8C,C,38,English FAL,Semester 2,47,41,19,Above-7,9.0,34,25,1,L,0
FHS0191,Female,Grade 8,General,8C,C,42,English FAL,Semester 2,61,31,21,Under-7,14.5,65,44,3,M,1
FHS0192,Male,Grade 8,General,8B,B,42,Life Orientation,Semester 2,87,79,51,Above-7,18.9,87,65,5,M,1
FHS0193,Male,Grade 8,General,8A,A,35,Social Sciences,Semester 1,47,46,54,Above-7,9.3,58,35,2,L,0
FHS0194,Female,Grade 8,General,8B,B,38,Social Sciences,Semester 2,88,59,33,Under-7,15.8,52,69,5,M,1
FHS0195,Female,Grade 8,General,8A,A,38,Natural Sciences,Semester 1,79,59,51,Under-7,19.6,89,68,5,M,1
FHS0196,Male,Grade 8,General,8B,B,38,English FAL,Semester 1,63,17,88,Under-7,5.8,50,38,2,L,0
FHS0197,Female,Grade 8,General,8B,B,38,Social Sciences,Semester 1,75,64,76,Under-7,18.9,80,76,6,H,1
FHS0198,Female,Grade 8,General,8A,A,42,Social Sciences,Semester 1,74,31,49,Under-7,8.4,40,56,4,M,1
FHS0199,Female,Grade 8,General,8A,A,38,Natural Sciences,Semester 1,28,33,39,Above-7,10.3,62,32,2,L,0
FHS0200,Male,Grade 8,General,8A,A,35,EMS,Semester 2,58,57,64,Under-7,14.8,76,76,6,H,1
FHS0201,Female,Grade 8,General,8A,A,38,Natural Sciences,Semester 2,97,29,64,Under-7,16.2,68,86,7,H,1
FHS0202,Female,Grade 8,General,8C,C,45,Life Orientation,Semester 1,64,0,81,Above-7,15.0,85,48,3,M,1
FHS0203,Male,Grade 8,General,8C,C,32,Life Orientation,Semester 1,70,90,87,Under-7,23.5,79,83,7,H,1
FHS0204,Male,Grade 8,General,8B,B,32,English FAL,Semester 2,51,52,61,Under-7,2.0,53,33,2,L,0
FHS0205,Female,Grade 8,General,8C,C,35,Social Sciences,Semester 2,49,40,61,Above-7,14.6,73,50,4,M,1
FHS0206,Male,Grade 8,General,8B,B,35,Mathematics,Semester 1,59,58,72,Under-7,12.4,80,51,4,M,1
FHS0207,Male,Grade 8,General,8B,B,38,Social Sciences,Semester 1,28,53,99,Under-7,6.3,82,54,4,M,1
FHS0208,Male,Grade 8,General,8B,B,35,Life Orientation,Semester 1,65,46,38,Above-7,9.1,71,51,4,M,1
FHS0209,Female,Grade 8,General,8C,C,35,English FAL,Semester 1,45,42,40,Above-7,10.8,37,19,1,L,0
FHS0210,Female,Grade 8,General,8C,C,45,EMS,Semester 1,50,44,33,Under-7,15.9,93,69,5,M,1
FHS0211,Female,Grade 8,General,8A,A,48,Mathematics,Semester 2,38,37,17,Above-7,8.4,19,8,1,L,0
FHS0212,Female,Grade 8,General,8B,B,42,Natural Sciences,Semester 1,61,44,42,Above-7,11.7,41,17,1,L,0
FHS0213,Male,Grade 8,General,8B,B,42,Social Sciences,Semester 1,63,44,8,Under-7,3.9,45,35,2,L,0
FHS0214,Female,Grade 8,General,8A,A,42,EMS,Semester 2,61,47,41,Under-7,8.9,51,46,3,M,1
FHS0215,Male,Grade 8,General,8A,A,32,English FAL,Semester 1,49,14,36,Under-7,8.8,36,38,2,L,0
FHS0216,Female,Grade 8,General,8C,C,35,Life Orientation,Semester 2,52,25,53,Under-7,14.7,69,57,4,M,1
FHS0217,Female,Grade 8,General,8C,C,35,Mathematics,Semester 1,52,38,32,Under-7,15.5,75,45,3,M,1
FHS0218,Male,Grade 8,General,8C,C,32,English FAL,Semester 1,21,37,43,Above-7,4.0,26,5,1,L,0
FHS0219,Male,Grade 8,General,8B,B,42,Life Orientation,Semester 2,26,49,65,Under-7,7.6,55,50,4,M,1
FHS0220,Male,Grade 8,General,8B,B,42,Life Orientation,Semester 1,37,5,41,Under-7,13.6,50,38,2,L,0
FHS0221,Female,Grade 8,General,8B,B,42,Natural Sciences,Semester 1,53,54,63,Under-7,18.9,100,65,5,M,1
FHS0222,Female,Grade 8,General,8A,A,45,English FAL,Semester 1,27,53,25,Under-7,7.2,42,35,2,L,0
FHS0223,Male,Grade 8,General,8C,C,35,Social Sciences,Semester 2,59,13,81,Above-7,14.8,75,36,2,L,0
FHS0224,Female,Grade 8,General,8A,A,35,Natural Sciences,Semester 1,72,55,47,Under-7,17.4,100,83,7,H,1
FHS0225,Male,Grade 8,General,8B,B,32,Natural Sciences,Semester 1,32,26,22,Under-7,8.1,49,26,1,L,0
FHS0226,Female,Grade 8,General,8C,C,32,EMS,Semester 1,55,58,65,Under-7,14.9,93,73,6,H,1
