id,absence_days,extracurricular_activities,weekly_self_study_hours,career_aspiration,math_score,history_score,physics_score,chemistry_score,biology_score,english_score,geography_score,stem_avg,humanities_avg,math_physics_avg,bio_chem_avg,overall_score,study_efficiency,academic_balance,is_at_risk
157,0,1,17,Unknown,66,99,85,90,76,64,95,79.25,86.0,75.5,83.0,82.14,4.56,-6.75,0
160,4,1,33,Unknown,88,66,96,82,65,76,79,82.75,73.67,92.0,73.5,78.86,2.32,9.08,0
161,1,0,12,Unknown,92,64,77,61,76,72,87,76.5,74.33,84.5,68.5,75.57,5.81,2.17,0
168,5,0,22,Unknown,89,94,67,68,69,92,76,73.25,87.33,78.0,68.5,79.29,3.45,-14.08,0
169,1,0,9,Unknown,97,96,66,96,71,97,66,82.5,86.33,81.5,83.5,84.14,8.41,-3.83,0
176,2,0,20,Unknown,68,100,89,75,84,78,90,79.0,89.33,78.5,79.5,83.43,3.97,-10.33,0
181,2,1,5,Unknown,68,69,86,87,72,80,93,78.25,80.67,77.0,79.5,79.29,13.22,-2.42,0
183,3,1,28,Unknown,65,90,75,96,91,93,85,81.75,89.33,70.0,93.5,85.0,2.93,-7.58,0
189,5,0,26,Unknown,70,77,91,96,100,89,67,89.25,77.67,80.5,98.0,84.29,3.12,11.58,0
207,5,0,0,Unknown,99,86,68,94,97,77,92,89.5,85.0,83.5,95.5,87.57,87.57,4.5,0
219,1,0,27,Unknown,66,71,94,72,96,70,63,82.0,68.0,80.0,84.0,76.0,2.71,14.0,0
230,7,0,9,Unknown,62,64,65,86,67,94,68,70.0,75.33,63.5,76.5,72.29,7.23,-5.33,0
239,2,0,30,Unknown,82,74,77,95,81,76,91,83.75,80.33,79.5,88.0,82.29,2.65,3.42,0
255,3,0,35,Unknown,85,85,92,86,99,86,93,90.5,88.0,88.5,92.5,89.43,2.48,2.5,0
263,2,0,16,Unknown,79,68,63,72,81,67,67,73.75,67.33,71.0,76.5,71.0,4.18,6.42,1
266,3,0,19,Unknown,97,94,81,97,79,86,63,88.5,81.0,89.0,88.0,85.29,4.26,7.5,0
273,0,0,25,Unknown,85,70,73,95,100,70,94,88.25,78.0,79.0,97.5,83.86,3.23,10.25,0
288,4,0,31,Unknown,81,95,76,60,61,98,77,69.5,90.0,78.5,60.5,78.29,2.45,-20.5,0
299,1,0,2,Unknown,81,92,94,77,84,63,64,84.0,73.0,87.5,80.5,79.29,26.43,11.0,0
315,2,0,35,Unknown,85,87,87,90,91,91,99,88.25,92.33,86.0,90.5,90.0,2.5,-4.08,0
317,0,0,22,Unknown,63,60,92,88,90,68,100,83.25,76.0,77.5,89.0,80.14,3.48,7.25,0
323,5,0,25,Unknown,86,76,81,83,81,70,65,82.75,70.33,83.5,82.0,77.43,2.98,12.42,0
324,3,0,8,Unknown,96,81,95,78,79,65,86,87.0,77.33,95.5,78.5,82.86,9.21,9.67,0
325,3,0,4,Unknown,75,69,85,73,79,93,74,78.0,78.67,80.0,76.0,78.29,15.66,-0.67,0
330,5,0,32,Unknown,79,91,62,87,80,65,94,77.0,83.33,70.5,83.5,79.71,2.42,-6.33,0
353,1,1,14,Unknown,95,98,98,83,77,93,83,88.25,91.33,96.5,80.0,89.57,5.97,-3.08,0
357,2,0,26,Unknown,65,77,66,100,88,77,62,79.75,72.0,65.5,94.0,76.43,2.83,7.75,0
366,10,0,33,Unknown,81,64,67,74,65,94,96,71.75,84.67,74.0,69.5,77.29,2.27,-12.92,1
368,2,0,30,Unknown,61,70,89,97,60,79,79,76.75,76.0,75.0,78.5,76.43,2.47,0.75,0
375,5,1,21,Unknown,77,72,81,63,69,73,80,72.5,75.0,79.0,66.0,73.57,3.34,-2.5,0
377,3,0,32,Unknown,99,94,94,62,68,79,68,80.75,80.33,96.5,65.0,80.57,2.44,0.42,0
378,7,0,14,Unknown,73,69,94,78,76,63,71,80.25,67.67,83.5,77.0,74.86,4.99,12.58,0
380,7,1,4,Unknown,94,79,92,100,93,63,98,94.75,80.0,93.0,96.5,88.43,17.69,14.75,0
382,2,0,7,Unknown,66,83,77,91,84,74,62,79.5,73.0,71.5,87.5,76.71,9.59,6.5,0
384,5,0,3,Unknown,81,61,75,65,90,92,80,77.75,77.67,78.0,77.5,77.71,19.43,0.08,0
406,5,0,25,Unknown,79,70,71,95,79,77,68,81.0,71.67,75.0,87.0,77.0,2.96,9.33,0
425,6,0,19,Unknown,90,79,90,73,76,68,95,82.25,80.67,90.0,74.5,81.57,4.08,1.58,0
451,3,0,13,Unknown,89,87,63,83,64,85,72,74.75,81.33,76.0,73.5,77.57,5.54,-6.58,0
479,5,0,15,Unknown,63,84,60,85,91,83,84,74.75,83.67,61.5,88.0,78.57,4.91,-8.92,0
480,3,1,10,Unknown,100,98,71,100,71,92,63,85.5,84.33,85.5,85.5,85.0,7.73,1.17,0
484,6,1,1,Unknown,76,82,93,98,98,60,65,91.25,69.0,84.5,98.0,81.71,40.85,22.25,0
487,3,0,21,Unknown,97,89,94,91,95,70,75,94.25,78.0,95.5,93.0,87.29,3.97,16.25,0
505,8,0,15,Unknown,81,80,85,93,68,75,90,81.75,81.67,83.0,80.5,81.71,5.11,0.08,1
512,2,0,13,Unknown,60,75,70,96,63,82,80,72.25,79.0,65.0,79.5,75.14,5.37,-6.75,0
521,3,0,2,Unknown,69,98,77,63,88,64,60,74.25,74.0,73.0,75.5,74.14,24.71,0.25,0
527,2,0,25,Unknown,72,91,68,79,98,71,89,79.25,83.67,70.0,88.5,81.14,3.12,-4.42,0
534,4,0,26,Unknown,71,87,63,73,89,77,66,74.0,76.67,67.0,81.0,75.14,2.78,-2.67,0
539,2,0,32,Unknown,87,83,74,61,81,72,98,75.75,84.33,80.5,71.0,79.43,2.41,-8.58,0
556,2,0,35,Unknown,96,92,98,100,94,93,86,97.0,90.33,97.0,97.0,94.14,2.62,6.67,0
562,3,0,30,Unknown,96,89,73,75,99,89,71,85.75,83.0,84.5,87.0,84.57,2.73,2.75,0
584,3,0,16,Unknown,99,70,74,65,99,74,62,84.25,68.67,86.5,82.0,77.57,4.56,15.58,0
591,3,0,28,Unknown,95,80,64,97,85,94,60,85.25,78.0,79.5,91.0,82.14,2.83,7.25,0
592,4,0,2,Unknown,80,62,84,95,71,85,87,82.5,78.0,82.0,83.0,80.57,26.86,4.5,0
602,1,0,7,Unknown,85,62,77,62,80,88,83,76.0,77.67,81.0,71.0,76.71,9.59,-1.67,0
604,2,0,4,Unknown,60,91,85,67,98,61,64,77.5,72.0,72.5,82.5,75.14,15.03,5.5,1
605,2,0,26,Unknown,76,85,67,60,100,63,64,75.75,70.67,71.5,80.0,73.57,2.72,5.08,0
616,2,0,16,Unknown,90,89,98,70,79,60,92,84.25,80.33,94.0,74.5,82.57,4.86,3.92,0
622,5,0,26,Unknown,90,75,67,85,64,95,96,76.5,88.67,78.5,74.5,81.71,3.03,-12.17,0
623,1,0,5,Unknown,79,95,81,67,66,71,66,73.25,77.33,80.0,66.5,75.0,12.5,-4.08,0
629,6,1,14,Unknown,65,89,79,95,71,61,62,77.5,70.67,72.0,83.0,74.57,4.97,6.83,0
635,8,1,12,Unknown,76,75,74,67,76,82,79,73.25,78.67,75.0,71.5,75.57,5.81,-5.42,1
642,2,1,6,Unknown,99,77,88,60,93,61,96,85.0,78.0,93.5,76.5,82.0,11.71,7.0,0
671,3,0,16,Unknown,72,79,95,68,75,70,88,77.5,79.0,83.5,71.5,78.14,4.6,-1.5,0
677,2,0,21,Unknown,100,77,74,61,81,96,96,79.0,89.67,87.0,71.0,83.57,3.8,-10.67,0
684,4,0,29,Unknown,86,68,65,64,95,82,87,77.5,79.0,75.5,79.5,78.14,2.6,-1.5,0
686,2,0,20,Unknown,87,68,66,83,92,81,80,82.0,76.33,76.5,87.5,79.57,3.79,5.67,0
690,3,0,10,Unknown,76,61,68,88,86,87,66,79.5,71.33,72.0,87.0,76.0,6.91,8.17,0
695,1,0,24,Unknown,88,84,61,61,79,62,99,72.25,81.67,74.5,70.0,76.29,3.05,-9.42,0
701,6,0,18,Unknown,91,61,95,82,77,87,95,86.25,81.0,93.0,79.5,84.0,4.42,5.25,0
703,4,0,2,Unknown,61,66,78,79,79,96,81,74.25,81.0,69.5,79.0,77.14,25.71,-6.75,0
704,5,1,16,Unknown,87,89,60,66,79,81,65,73.0,78.33,73.5,72.5,75.29,4.43,-5.33,0
718,2,0,11,Unknown,71,98,66,65,78,81,82,70.0,87.0,68.5,71.5,77.29,6.44,-17.0,0
722,2,1,35,Unknown,100,88,98,90,93,95,98,95.25,93.67,99.0,91.5,94.57,2.63,1.58,0
734,1,0,25,Unknown,84,94,65,74,92,81,79,78.75,84.67,74.5,83.0,81.29,3.13,-5.92,0
746,0,0,27,Unknown,68,95,66,65,89,84,100,72.0,93.0,67.0,77.0,81.0,2.89,-21.0,0
770,0,0,30,Unknown,90,83,72,77,99,84,67,84.5,78.0,81.0,88.0,81.71,2.64,6.5,0
772,0,1,8,Unknown,78,81,71,91,79,79,75,79.75,78.33,74.5,85.0,79.14,8.79,1.42,0
776,1,0,10,Unknown,71,72,65,65,65,67,97,66.5,78.67,68.0,65.0,71.71,6.52,-12.17,1
780,6,0,35,Unknown,91,96,100,95,100,94,95,96.5,95.0,95.5,97.5,95.86,2.66,1.5,0
782,3,0,27,Unknown,84,80,75,63,71,86,63,73.25,76.33,79.5,67.0,74.57,2.66,-3.08,0
793,2,0,22,Unknown,88,86,82,89,81,61,83,85.0,76.67,85.0,85.0,81.43,3.54,8.33,0
794,3,0,21,Unknown,67,67,62,80,61,61,82,67.5,70.0,64.5,70.5,68.57,3.12,-2.5,1
808,2,0,23,Unknown,99,98,70,73,63,62,88,76.25,82.67,84.5,68.0,79.0,3.29,-6.42,0
811,1,1,33,Unknown,97,76,99,85,98,62,97,94.75,78.33,98.0,91.5,87.71,2.58,16.42,0
827,1,1,9,Unknown,66,65,82,96,87,87,63,82.75,71.67,74.0,91.5,78.0,7.8,11.08,0
835,2,0,25,Unknown,82,84,93,70,99,66,80,86.0,76.67,87.5,84.5,82.0,3.15,9.33,0
836,1,0,33,Unknown,81,91,71,79,98,69,75,82.25,78.33,76.0,88.5,80.57,2.37,3.92,0
837,1,0,24,Unknown,97,80,67,71,75,96,100,77.5,92.0,82.0,73.0,83.71,3.35,-14.5,0
844,1,0,9,Unknown,95,72,99,67,83,78,65,86.0,71.67,97.0,75.0,79.86,7.99,14.33,0
860,2,0,8,Unknown,92,99,93,82,97,70,79,91.0,82.67,92.5,89.5,87.43,9.71,8.33,0
870,1,0,21,Unknown,100,67,100,65,67,92,67,83.0,75.33,100.0,66.0,79.71,3.62,7.67,0
872,3,0,30,Unknown,60,67,94,74,71,98,74,74.75,79.67,77.0,72.5,76.86,2.48,-4.92,0
887,7,0,11,Unknown,60,92,82,65,82,91,67,72.25,83.33,71.0,73.5,77.0,6.42,-11.08,0
888,3,0,21,Unknown,95,91,63,83,75,73,74,79.0,79.33,79.0,79.0,79.14,3.6,-0.33,0
904,4,0,29,Unknown,74,95,82,61,70,88,92,71.75,91.67,78.0,65.5,80.29,2.68,-19.92,0
918,3,0,3,Unknown,71,70,60,84,87,87,64,75.5,73.67,65.5,85.5,74.71,18.68,1.83,0
931,2,0,34,Unknown,93,70,74,78,94,75,96,84.75,80.33,83.5,86.0,82.86,2.37,4.42,0
957,4,0,25,Unknown,87,68,84,92,96,88,60,89.75,72.0,85.5,94.0,82.14,3.16,17.75,0
958,10,0,11,Unknown,94,92,76,74,65,96,87,77.25,91.67,85.0,69.5,83.43,6.95,-14.42,1
965,0,0,5,Unknown,96,67,74,90,75,95,83,83.75,81.67,85.0,82.5,82.86,13.81,2.08,0
967,2,0,26,Unknown,64,65,97,96,80,80,78,84.25,74.33,80.5,88.0,80.0,2.96,9.92,0
969,2,1,6,Unknown,97,78,99,88,69,98,60,88.25,78.67,98.0,78.5,84.14,12.02,9.58,0
980,3,1,24,Unknown,80,66,77,81,99,99,83,84.25,82.67,78.5,90.0,83.57,3.34,1.58,0
986,2,1,35,Unknown,91,94,97,97,100,88,99,96.25,93.67,94.0,98.5,95.14,2.64,2.58,0
991,1,1,14,Unknown,66,68,87,70,77,76,89,75.0,77.67,76.5,73.5,76.14,5.08,-2.67,0
1008,0,0,19,Unknown,83,79,91,62,63,76,93,74.75,82.67,87.0,62.5,78.14,3.91,-7.92,0
1010,2,0,29,Unknown,74,68,71,60,97,64,63,75.5,65.0,72.5,78.5,71.0,2.37,10.5,1
1014,3,0,34,Unknown,65,78,82,65,100,92,64,78.0,78.0,73.5,82.5,78.0,2.23,0.0,0
1018,3,0,18,Unknown,67,60,87,73,92,82,70,79.75,70.67,77.0,82.5,75.86,3.99,9.08,0
1029,7,0,7,Unknown,94,65,96,77,83,75,98,87.5,79.33,95.0,80.0,84.0,10.5,8.17,0
1034,3,1,21,Unknown,89,100,89,65,91,83,61,83.5,81.33,89.0,78.0,82.57,3.75,2.17,0
1051,0,0,13,Unknown,62,88,87,90,84,88,95,80.75,90.33,74.5,87.0,84.86,6.06,-9.58,0
1055,1,0,28,Unknown,88,93,92,70,90,94,85,85.0,90.67,90.0,80.0,87.43,3.01,-5.67,0
1065,3,0,32,Unknown,79,78,69,80,72,71,88,75.0,79.0,74.0,76.0,76.71,2.32,-4.0,0
1066,0,0,31,Unknown,60,88,75,94,87,82,79,79.0,83.0,67.5,90.5,80.71,2.52,-4.0,0
1070,1,0,4,Unknown,63,72,92,82,84,82,60,80.25,71.33,77.5,83.0,76.43,15.29,8.92,0
1072,5,0,27,Unknown,60,61,66,82,100,76,79,77.0,72.0,63.0,91.0,74.86,2.67,5.0,0
1078,2,0,25,Unknown,74,67,90,69,83,89,68,79.0,74.67,82.0,76.0,77.14,2.97,4.33,0
1082,3,0,6,Unknown,65,72,77,89,74,76,61,76.25,69.67,71.0,81.5,73.43,10.49,6.58,0
1099,1,0,29,Unknown,92,61,96,79,97,89,78,91.0,76.0,94.0,88.0,84.57,2.82,15.0,0
1116,3,1,35,Unknown,90,87,100,98,91,98,96,94.75,93.67,95.0,94.5,94.29,2.62,1.08,0
1119,6,0,5,Unknown,88,99,71,85,82,94,90,81.5,94.33,79.5,83.5,87.0,14.5,-12.83,0
1126,2,0,29,Unknown,60,65,86,66,61,99,89,68.25,84.33,73.0,63.5,75.14,2.5,-16.08,0
1129,2,0,29,Unknown,75,96,61,73,60,77,81,67.25,84.67,68.0,66.5,74.71,2.49,-17.42,0
1149,3,0,26,Unknown,84,74,74,67,72,99,65,74.25,79.33,79.0,69.5,76.43,2.83,-5.08,0
1151,2,1,30,Unknown,78,89,95,71,68,71,69,78.0,76.33,86.5,69.5,77.29,2.49,1.67,0
1152,2,0,13,Unknown,86,66,77,74,84,72,95,80.25,77.67,81.5,79.0,79.14,5.65,2.58,0
1162,1,1,3,Unknown,60,70,61,63,61,71,73,61.25,71.33,60.5,62.0,65.57,16.39,-10.08,1
1178,0,0,30,Unknown,60,71,91,83,93,88,97,81.75,85.33,75.5,88.0,83.29,2.69,-3.58,0
1179,3,0,7,Unknown,67,60,99,60,82,81,63,77.0,68.0,83.0,71.0,73.14,9.14,9.0,0
1182,1,0,8,Unknown,89,62,79,60,93,77,73,80.25,70.67,84.0,76.5,76.14,8.46,9.58,0
1186,3,1,11,Unknown,86,66,84,86,74,91,66,82.5,74.33,85.0,80.0,79.0,6.58,8.17,0
1208,1,0,18,Unknown,62,73,95,68,61,60,68,71.5,67.0,78.5,64.5,69.57,3.66,4.5,1
1216,3,0,33,Unknown,88,75,83,74,76,72,61,80.25,69.33,85.5,75.0,75.57,2.22,10.92,0
1219,1,0,26,Unknown,85,64,98,68,70,63,77,80.25,68.0,91.5,69.0,75.0,2.78,12.25,0
1230,7,0,3,Unknown,93,74,98,100,62,83,87,88.25,81.33,95.5,81.0,85.29,21.32,6.92,0
1240,3,0,35,Unknown,99,85,98,91,86,97,85,93.5,89.0,98.5,88.5,91.57,2.54,4.5,0
1264,3,1,27,Unknown,76,72,97,65,87,93,84,81.25,83.0,86.5,76.0,82.0,2.93,-1.75,0
1312,2,0,2,Unknown,62,74,98,97,72,72,95,82.25,80.33,80.0,84.5,81.43,27.14,1.92,0
1328,5,0,15,Unknown,69,81,83,68,76,90,95,74.0,88.67,76.0,72.0,80.29,5.02,-14.67,0
1333,7,1,18,Unknown,76,80,93,74,73,63,81,79.0,74.67,84.5,73.5,77.14,4.06,4.33,0
1345,2,0,10,Unknown,85,90,61,94,86,79,90,81.5,86.33,73.0,90.0,83.57,7.6,-4.83,0
1349,10,0,15,Unknown,62,63,94,74,75,86,100,76.25,83.0,78.0,74.5,79.14,4.95,-6.75,1
1358,2,0,21,Unknown,73,98,72,100,77,62,69,80.5,76.33,72.5,88.5,78.71,3.58,4.17,0
1359,1,0,28,Unknown,60,64,84,64,66,96,99,68.5,86.33,72.0,65.0,76.14,2.63,-17.83,0
1368,2,0,11,Unknown,98,77,91,88,87,76,68,91.0,73.67,94.5,87.5,83.57,6.96,17.33,0
1379,5,0,27,Unknown,61,85,92,62,64,66,95,69.75,82.0,76.5,63.0,75.0,2.68,-12.25,0
1408,3,0,29,Unknown,61,86,78,80,94,60,88,78.25,78.0,69.5,87.0,78.14,2.6,0.25,1
1412,6,0,21,Unknown,60,88,75,86,72,80,69,73.25,79.0,67.5,79.0,75.71,3.44,-5.75,0
1422,1,0,27,Unknown,87,91,92,66,62,89,76,76.75,85.33,89.5,64.0,80.43,2.87,-8.58,0
1439,1,0,22,Unknown,78,81,94,64,61,91,88,74.25,86.67,86.0,62.5,79.57,3.46,-12.42,0
1449,4,0,5,Unknown,83,66,94,75,72,78,74,81.0,72.67,88.5,73.5,77.43,12.9,8.33,0
1458,4,0,6,Unknown,66,97,82,70,93,68,98,77.75,87.67,74.0,81.5,82.0,11.71,-9.92,0
1469,2,0,20,Unknown,99,93,90,79,93,71,84,90.25,82.67,94.5,86.0,87.0,4.14,7.58,0
1479,2,0,29,Unknown,76,81,69,87,60,93,62,73.0,78.67,72.5,73.5,75.43,2.51,-5.67,0
1506,7,0,10,Unknown,78,76,93,88,83,99,98,85.5,91.0,85.5,85.5,87.86,7.99,-5.5,0
1508,4,0,13,Unknown,88,92,66,100,98,99,70,88.0,87.0,77.0,99.0,87.57,6.26,1.0,0
1516,1,0,34,Unknown,60,93,99,81,96,92,80,84.0,88.33,79.5,88.5,85.86,2.45,-4.33,0
1525,6,0,33,Unknown,72,67,65,76,69,81,70,70.5,72.67,68.5,72.5,71.43,2.1,-2.17,1
1534,1,0,24,Unknown,60,78,96,93,62,60,83,77.75,73.67,78.0,77.5,76.0,3.04,4.08,1
1540,2,0,7,Unknown,62,73,74,72,83,63,79,72.75,71.67,68.0,77.5,72.29,9.04,1.08,1
1542,4,0,2,Unknown,71,68,77,73,68,73,64,72.25,68.33,74.0,70.5,70.57,23.52,3.92,1
1550,4,0,2,Unknown,69,93,62,99,98,98,68,82.0,86.33,65.5,98.5,83.86,27.95,-4.33,0
1573,7,0,12,Unknown,82,84,69,66,65,74,68,70.5,75.33,75.5,65.5,72.57,5.58,-4.83,0
1580,6,1,24,Unknown,73,71,84,96,92,94,75,86.25,80.0,78.5,94.0,83.57,3.34,6.25,0
1590,2,1,13,Unknown,73,87,72,98,82,89,98,81.25,91.33,72.5,90.0,85.57,6.11,-10.08,0
1614,2,0,15,Unknown,100,62,84,66,88,90,71,84.5,74.33,92.0,77.0,80.14,5.01,10.17,0
1618,4,0,6,Unknown,67,88,89,90,78,84,73,81.0,81.67,78.0,84.0,81.29,11.61,-0.67,0
1633,7,0,12,Unknown,61,99,66,99,100,70,60,81.5,76.33,63.5,99.5,79.29,6.1,5.17,0
1635,4,1,18,Unknown,91,72,69,88,92,61,76,85.0,69.67,80.0,90.0,78.43,4.13,15.33,0
1638,1,1,19,Unknown,70,96,60,87,92,63,95,77.25,84.67,65.0,89.5,80.43,4.02,-7.42,0
1640,1,0,11,Unknown,69,78,80,60,76,86,96,71.25,86.67,74.5,68.0,77.86,6.49,-15.42,0
1659,0,0,12,Unknown,78,70,90,68,90,87,77,81.5,78.0,84.0,79.0,80.0,6.15,3.5,0
1685,0,1,18,Unknown,62,91,86,88,80,62,75,79.0,76.0,74.0,84.0,77.71,4.09,3.0,1
1698,2,0,35,Unknown,98,92,91,89,95,92,90,93.25,91.33,94.5,92.0,92.43,2.57,1.92,0
1706,2,0,33,Unknown,73,84,97,64,87,82,70,80.25,78.67,85.0,75.5,79.57,2.34,1.58,0
1707,3,0,12,Unknown,82,81,78,95,60,88,72,78.75,80.33,80.0,77.5,79.43,6.11,-1.58,0
1715,6,0,1,Unknown,76,69,100,88,65,96,70,82.25,78.33,88.0,76.5,80.57,40.28,3.92,0
1741,5,0,26,Unknown,68,100,94,69,93,64,93,81.0,85.67,81.0,81.0,83.0,3.07,-4.67,0
1747,1,1,9,Unknown,64,89,91,99,60,98,93,78.5,93.33,77.5,79.5,84.86,8.49,-14.83,0
1750,4,0,3,Unknown,75,65,66,79,91,82,72,77.75,73.0,70.5,85.0,75.71,18.93,4.75,0
1790,5,1,21,Unknown,79,86,84,84,63,82,94,77.5,87.33,81.5,73.5,81.71,3.71,-9.83,0
1805,2,0,28,Unknown,100,82,72,97,74,75,81,85.75,79.33,86.0,85.5,83.0,2.86,6.42,0
1809,3,1,35,Unknown,86,87,97,92,85,99,86,90.0,90.67,91.5,88.5,90.29,2.51,-0.67,0
1815,5,1,18,Unknown,94,97,69,81,100,68,68,86.0,77.67,81.5,90.5,82.43,4.34,8.33,0
1839,3,0,19,Unknown,93,73,67,100,63,92,86,80.75,83.67,80.0,81.5,82.0,4.1,-2.92,0
1841,2,0,29,Unknown,97,86,72,81,85,70,72,83.75,76.0,84.5,83.0,80.43,2.68,7.75,0
1857,2,0,35,Unknown,92,92,99,87,100,88,97,94.5,92.33,95.5,93.5,93.57,2.6,2.17,0
1868,2,0,21,Unknown,92,85,78,87,64,79,74,80.25,79.33,85.0,75.5,79.86,3.63,0.92,0
1885,3,0,9,Unknown,66,61,97,61,60,61,98,71.0,73.33,81.5,60.5,72.0,7.2,-2.33,0
1900,2,0,19,Unknown,70,66,90,74,100,96,81,83.5,81.0,80.0,87.0,82.43,4.12,2.5,0
1908,0,0,10,Unknown,93,78,72,66,73,76,68,76.0,74.0,82.5,69.5,75.14,6.83,2.0,0
1931,2,0,5,Unknown,81,91,85,64,82,90,94,78.0,91.67,83.0,73.0,83.86,13.98,-13.67,0
1934,0,0,21,Unknown,64,74,79,72,74,65,95,72.25,78.0,71.5,73.0,74.71,3.4,-5.75,0
1942,4,0,5,Unknown,63,68,91,82,90,86,75,81.5,76.33,77.0,86.0,79.29,13.22,5.17,0
1944,1,1,11,Unknown,87,61,62,66,67,81,65,70.5,69.0,74.5,66.5,69.86,5.82,1.5,1
1947,0,1,30,Unknown,80,77,96,64,93,62,86,83.25,75.0,88.0,78.5,79.71,2.57,8.25,0
1962,4,0,4,Unknown,85,60,61,75,83,87,65,76.0,70.67,73.0,79.0,73.71,14.74,5.33,0
1968,2,0,26,Unknown,86,88,71,65,86,69,84,77.0,80.33,78.5,75.5,78.43,2.9,-3.33,0
1989,2,0,3,Unknown,66,63,95,76,71,99,73,77.0,78.33,80.5,73.5,77.57,19.39,-1.33,0
